DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-03,142.28,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-04,91.65,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-05,27.20,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-06,14.76,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-07,0.47,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-08,0.05,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-09,0.56,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-10,83.17,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-11,155.52,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1987-12,199.61,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-01,246.58,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-02,236.74,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-03,165.53,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-04,126.05,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-05,65.87,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-06,11.21,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-07,4.89,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-08,0.37,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-09,5.22,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-10,38.98,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-11,117.68,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1988-12,277.72,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-01,295.52,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-02,199.97,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-03,139.37,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-04,181.72,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-05,9.07,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-06,8.74,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-07,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-08,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-09,2.04,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-10,14.64,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-11,127.92,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1989-12,166.08,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-01,289.19,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-02,150.45,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-03,120.73,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-04,141.52,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-05,8.64,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-06,2.10,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-07,0.05,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-08,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-09,0.85,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-10,50.18,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-11,184.10,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1990-12,288.73,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-01,295.47,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-02,269.93,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-03,185.10,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-04,138.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-05,57.27,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-06,4.01,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-07,1.28,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-08,0.06,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-09,7.92,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-10,89.04,
